,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
2518,"City of Courtland, Alabama (Utility Company)",40364,Residential Service,539f748fec4f024411ed09ad,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f748fec4f024411ed09ad,Residential,,"Ted binder #4, Robin Brackin-Hollis Courtland Electric",,,,,,
2520,Waterloo Light & Water Comm,20182,Residential TOU Three Phase (8am to 8pm),55ba50255457a3ce72995e96,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55ba50255457a3ce72995e96,Residential,"This rate schedule is optional to all Rg-1, Residential Service customers. Customers that wish to be served on this rate schedule must apply to the utility for service. Once an optional customer begins service on this rate schedule, the customer shall remain on the rate for a minimum of one year. 

* On-peak periods = 8:00 a.m. to 8:00 p.m.
* Subject to Power Cost Adjustment.
* Plus Commitment to Community Charge.",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=6220,,,,,,3-Phase
2522,"Broad River Electric Coop, Inc",2212,"Rate Code 720, Net Metering Single-Phase",539f748fec4f024411ed09ff,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f748fec4f024411ed09ff,Residential,"Available to those members who have completed an interconnection agreement regarding the cooperative's Net Metering Program.
Subject to taxes and wholesale power cost adjustment.",ISU Documentation,,,,,,Single Phase
2523,North Alabama Electric Coop,13669,Residential,539f748fec4f024411ed0a03,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f748fec4f024411ed0a03,Residential,,http://www.naecoop.com/RatesSchedule.asp,,,,,,
2524,"Hill County Electric Coop, Inc",8632,Annual Residential,539f74a0ec4f024411ed0a1d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74a0ec4f024411ed0a1d,Residential,"* Annual Recurring Charge  $360.00 

* Fixed monthly charge = Annual Recurring Charge / 12
Annual accounts will be billed in advance for service.  The annual recurring charge will be billed immediately upon metering being made available to the member and prorated to the next billing date.  Billing for the annual recurring charge will be billed on or before May 1st of each year.  Meters will be read on an annual basis on or before October 31st.  Energy charge bills will be calculated based on the actual usage and mailed to the members by the first day of the following month.  Payment is due by the 10th day following the billing date.  All payments for service must be in U.S. funds.",http://www.hcelectric.com/content/rates,,,,,,
2525,"City of Mt Pleasant, Utah (Utility Company)",13037,Residential-within city limits,539f74a0ec4f024411ed0a25,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74a0ec4f024411ed0a25,Residential,no description available,http://mtpleasantcity.com/residents/utility-rates/,,,,,,
2526,"Alaska Village Elec Coop, Inc",221,Residential Rate: Shaktoolik Village,539f74a0ec4f024411ed0a35,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74a0ec4f024411ed0a35,Residential,"For 1-500 kWh consumed:
Rate = ( .30 + Cost of Fuel) - (PCE Adjustment)
For 501-700 kWh consumed:
Rate = (.30 + Cost of Fuel)
Over 700 kWh consumed:
Rate = (.20 + Cost of Fuel)",http://www.avec.org/customer-service.php,,,,,,
2528,"Town of Smyrna, Delaware (Utility Company)",17457,Residential,55dccfa65457a32108687728,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55dccfa65457a32108687728,Residential,,http://www.smyrna.delaware.gov/DocumentCenter/Home/View/625,,,,,,
2529,"Town of Estes Park, Colorado (Utility Company)",5997,RESIDENTIAL DEMAND,539f74a0ec4f024411ed0a5b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6b07ec4f024411ec9789,Residential,"RESIDENTIAL DEMAND

Available to existing customers on this rate, September through April. All other times is Residential energy charge.",http://www.colorado.gov/cs/Satellite?blobcol=urldata&blobheadername1=Content-Disposition&blobheadername2=Content-Type&blobheadervalue1=inline%3B+filename%3D%22Electric+Rate+Summary.pdf%22&blobheadervalue2=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1251813665377&ssbinary=true,,,,,,
2531,"Village of Chelsea, Michigan (Utility Company)",3415,Residential Service,5616c2bc5457a3b57435c494,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5616c2bc5457a3b57435c494,Residential,*Add 4% sales tax to electric for residents and 6% for commercial accounts. The power cost adjustment (PCA) is updated every three months and is calculated by multiplying monthly kilowatts by the current PCA,http://city-chelsea.org/Portals/0/Website%20Content/Utilities/2014-2015%20City%20Rate%20Schedule_final.pdf,,,,,,
2532,"Village of Wellsville, New York (Utility Company)",20337,Residential,539f74a1ec4f024411ed0a77,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74a1ec4f024411ed0a77,Residential,,http://www.wellsvilleny.com/pdfs/electric%20rates.pdf,,,,,,
2534,Southern Illinois Elec Coop,17631,Farm and Home Service,539f74a1ec4f024411ed0a93,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74a1ec4f024411ed0a93,Residential,"Available to consumers for all residential and farm uses, and to school, churches, and public buildings.",Rate Binder #7 (Illinois State University),,,,,,
2535,Wonewoc Electric & Water Util,20924,Residential Single Phase,539f74a1ec4f024411ed0ab9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74a1ec4f024411ed0ab9,Residential,"This rate will be applied to residential single-phase customers for ordinary household purposes.  Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.

The following Riders and Adjustments apply to this rate:
*Power Cost Adjustment Clause which issues charge per kWh that varies on a monthly basis.
*Parallel Generation (15 kW or less)-Net Energy Billing
*Customer-Owned Generation Systems (Greater than 20 kW) Billing
*Commitment to Community Program Rider, assess a fee of $0.001204 per kWh",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=6760,,,,,,
2536,"City of Weiser, Idaho (Utility Company)",20297,Residential,539f74a1ec4f024411ed0abb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74a1ec4f024411ed0abb,Residential,Residential,ISU documentation,,,,,,
2541,"Santee Electric Coop, Inc",16606,Residential TOU,539f74b2ec4f024411ed0b25,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74b2ec4f024411ed0b25,Residential,This Schedule is available for metering electric energy generated by a consumer from an eligible on-site generating facility and delivered to the Cooperative distribution facilities to offset energy provided by the Cooperative in all territory served by the Cooperative.,http://www.santee.org/about-santee-electric/rate-schedules/residential-net-metering.aspx,,,,,,
2542,"Carbon Power & Light, Inc",2998,General Service Time Of Day (TOD)-3-Phase TOD Residential,539f74b2ec4f024411ed0b27,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbdb7ec4f024c27d87ee5,Residential,"Winter On Peak charge = $0.126626/kWh
Winter Off Peak charge = $0.080230/kWh
Summer All charge = $0.113163/kWh",http://psc.state.wy.us/htdocs/tariffs/wy_cpl1/0001a.pdf,,,,,,3-Phase
2543,"City of Elk River, Minnesota (Utility Company)",5773,Residential Service,561bf2ce5457a3633ca988ff,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/561bf2ce5457a3633ca988ff,Residential,"Summer: May-Sept
Winter: Oct-Apr

Energy Storage Charge (Jan-Dec): $0.0450/kwh and Dual Fuel Charge (Jan-Dec): $ 0.0585/kwh added to become Adjustment charge of 0.1035",http://www.elkriverutilities.com/pages/rates,,,,,,
2547,"Town of Guernsey, Wyoming (Utility Company)",7759,Residential,539f74b2ec4f024411ed0b63,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74b2ec4f024411ed0b63,Residential,There shall be a minimum charge of $16.00 per month for all electric meters.,http://www.guernsey.govoffice2.com/vertical/Sites/%7B7F3D0BD7-21D0-4BCF-B3C9-D950DE714DE8%7D/uploads/%7B2E699A6F-C69E-41BA-A715-990236DB5507%7D.PDF,,,,,,
2548,PacifiCorp (Idaho),14354,Schedule 1 - Residential Service,5761cf935457a3031bba0c12,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5761cf935457a3031bba0c12,Residential,,https://www.rockymountainpower.net/content/dam/rocky_mountain_power/doc/About_Us/Rates_and_Regulation/Idaho/Approved_Tariffs/Rate_Schedules/Residential_Service.pdf,,,,,,
2549,"City of Elk River, Minnesota (Utility Company)",5773,Energy Storage Rate,561bf3d15457a37c0da988fe,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/561bf3d15457a37c0da988fe,Residential,Residential Rates added to initial energy charge.,http://www.elkriverutilities.com/pages/rates,,,,,,
2552,"City of Marquette, Michigan (Utility Company)",11701,Rural Residential Rate R1,539f74b3ec4f024411ed0b93,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74b3ec4f024411ed0b93,Residential,"Residential Rates Outside the Marquette City Limits: R1

**Utility Review Committee Charge: $0.05 per month",https://www.mblp.org/admin/core/upload/Rates-Residential/2014-R1-Residential-Rates-Outside-the-Marquette-City-Limits.pdf,,,,,,
2553,"City of Winnfield, Louisiana (Utility Company)",30856,Residential Outside City Limits (RO),539f74b3ec4f024411ed0b97,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74b3ec4f024411ed0b97,Residential,"**The bill is calculated with other charges Customer Bill = CC+(ER*kWh)+(PDM*kWh)+(PER*kWh)

*Customer Charge (CC) $5.00
*Energy Rate (ER) $0.01651 per kWh
*Purchased Demand Multiplier (PDM)= $0.02336 per kWh X PDC / $7.80
*Purchased Demand Charge (PDC)=$8.19
*Purchased Energy Rate (PER)=1.10 X PEC
*Purchased Energy Costs (PEC) varies monthly","Rate Binder #10A, Illinois State University.",,,,,,
2558,"City of Tacoma, Washington (Utility Company)",18429,RS - Schedule A-1 - City of Steilacoom,568d9b295457a36b37abca31,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/568d9b295457a36b37abca31,Residential,"Available for domestic purposes in residences, apartments, duplex houses and multiple family dwellings.",www.mytpu.org/customer-service/rates/power-rates/power-rates-schedules.htm,,,,,,
2561,"City of Santa Clara, California (Utility Company)",16655,RS Schedule D-1 (TOU),539f74c3ec4f024411ed0c0d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74c3ec4f024411ed0c0d,Residential,*Public Benefits Charge: The surcharge is equal to the sum of the Meter Charge and the Energy Charge times 0.0285,https://siliconvalleypower.com/Modules/ShowDocument.aspx?documentid=6246,,,,,,
2562,Ontonagon County R E A,14156,Schedule AH,539f74c4ec4f024411ed0c41,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74c4ec4f024411ed0c41,Residential,"Any monthly billed rural residential consumer in a single family dwelling with Geo-Thermal heating or electric space heating provided the facilities are permanently installed and the primary source of space heating.

Energy Optimization surcharge added to energy charge.",http://www.dleg.state.mi.us/mpsc/electric/ratebooks/ontonagon/ontonagonmemberregcur.pdf,,,,,,
2567,"Mecklenburg Electric Coop, Inc",12260,SCHEDULE R-TOD-U RESIDENTIAL TIME-OF-DAY SERVICE Single Phase,539f74d2ec4f024411ed0c71,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a24ec4f024411ec8c1f,Residential,"This schedule is applicable to residential consumers subject to the Cooperative's established Terms and Conditions and limitations given under ""Conditions of Service"" in this Schedule.",http://www.meckelec.org/pdf/Unstamped%20MEC_Final_VA_unbundled_Tariffs_2009%20%282%29_Part3.pdf,,,,,Secondary,Single Phase
2569,South Plains Electric Coop Inc,17561,Residential Service,539f74d3ec4f024411ed0c9f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74d3ec4f024411ed0c9f,Residential,"*Available to Customers for all residential, (single family residence or 1-unit apartment) usage, including lighting, power and home water supply, subject to established rules and regulations, but not applicable for irrigation, commercial, or seasonal agricultural processing use.
*The monthly charges shall be increased or decreased on a uniform per KWH basis based on PCRF.",http://www.spec.coop/documents/2008%20spec%20Tariff%20062510%20Changes.pdf,,,,,,
2570,Northern Rio Arriba E Coop Inc,13777,Residential Time of Use-14 (PRC Rate No. 14),539f74d3ec4f024411ed0ca7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74d3ec4f024411ed0ca7,Residential,"- Off peak 7 days/wk: 10:30pm-5:30am & 12noon-4:30pm.
- On peak 7 days/wk is all other hours.",http://www.noraelectric.org/rates/rates.cfm,,,,,,
2572,"Carbon Power & Light, Inc",2998,General Service 3-Phase Residential,539f74d3ec4f024411ed0cc5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74d3ec4f024411ed0cc5,Residential,"General Phase ""A""
Three Phase

* Applicability: Residential, farm and village, small commercial, schools, churches, and community halls not classified as Seasonal Accounts.",http://www.carbonpower.com/Rates.html,,,,,,
2573,"City of Lodi, California (Utility Company)",11124,Residential Services,539f74d3ec4f024411ed0cc9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74d3ec4f024411ed0cc9,Residential,"This schedule is applicable to single-phase domestic power service in single-family and multi-family dwellings separately metered by the City.


*Qualifying residential customers on Schedule EA are entitled to a discount of 25% from the total bill. Qualifying residential customers on Schedule ED are entitled to a discount of 5% from the total bill. Master-metered customers with qualifying tenant(s) on Schedule ED are entitled to a discount of 5% per billing cycle (monthly bill) for each qualifying household or mobile home unit.  If a customer or full-time resident in the home or mobile home unit has one or more of the medical conditions listed below, contact the Electric Utility Department to request a City application, ""Declaration of Eligibility for Medical Discount."" Only one medical discount adjustment per household or mobile home unit is available. 

*For those customers who are on fixed incomes below $45,000 annually and who are over 62 years of age, and do not qualify for any other discount, a discount of 5% shall apply to the electric bill. Procedures as to qualification will be established by the Electric Utility Department.

*Flat Rate Adjustment = California Solar Initiative Surcharge",http://lodielectric.com/residential/rateform.asp?id=1,,,,,,
2574,"City of Denver, Iowa (Utility Company)",5076,Residential,539f74d3ec4f024411ed0ccd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74d3ec4f024411ed0ccd,Residential,"The minimum charge for the residential and commercial rate per month shall be five dollars
($5.00).",http://cityofdenveriowa.com/wp-content/uploads/2011/05/14-PublicUtilities.pdf,,,,,,
2577,"City of Llano, Texas (Utility Company)",11103,Residential service,539f74d4ec4f024411ed0d15,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74d4ec4f024411ed0d15,Residential,"* To single family residential customers for all domestic usage where all energy is taken through a single meter.
*Subject to power cost adjustment.",http://www.cityofllano.com/CITY/Utility/ORD987ORD1169.pdf,,,,,,
2579,Public Utility District No 1,15327,Senior/Disabled (20%),539f74e3ec4f024411ed0d33,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e3ec4f024411ed0d33,Residential,,http://www.wahkiakumpud.org/wp-content/uploads/2014/01/Utility-Rates-December-2013.pdf,,,,,,
2581,Intermountain Rural Elec Assn,9336,Residential Time of Use Demand Metered (C-TOU),539f74e4ec4f024411ed0d3d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e4ec4f024411ed0d3d,Residential,,ISU Documentation,,,,,,
2582,Cass Electric Coop,3111,Residential Urban,539f74e4ec4f024411ed0d4d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e4ec4f024411ed0d4d,Residential,rates subject to purchased power adjustment (PPA) and local franchise fees.,http://www.kwh.com/rates.html,,,,,,
2584,"City of Mansfield, Georgia (Utility Company)",11587,Residential Electric Rates,539f74e4ec4f024411ed0d61,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e4ec4f024411ed0d61,Residential,Fixed monthly charge includes first 15Kwhs.,Illinois State University,,,,,,
2586,PUD No 1 of Pend Oreille Cnty,14653,Residential Service,539f74e4ec4f024411ed0d67,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e4ec4f024411ed0d67,Residential,http://www.popud.org/services/rates-and-customer-service/electric-rates-5,http://173.236.244.134/wp-content/uploads/2010/12/Electric-Rates.pdf,,,,,,
2589,"City of Bridgeport, Texas (Utility Company)",2210,Residential,539f74e4ec4f024411ed0d8f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc1b7ec4f024c27d8a9a5,Residential,Applicable to residential customers for all domestic usage where all energy is taken through a single meter.,http://cityofbridgeport.net/documentcenter/view/1747,,,,,,
2590,Delta Montrose Electric Assn,5086,Residential Single-Phase,556613115457a38633084542,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/556613115457a38633084542,Residential,,http://www.dmea.com/index.php?option=com_content&view=article&id=95&Itemid=72,,,,,,Single Phase
2592,"City of Argyle, Wisconsin (Utility Company)",792,Rg-1 Residential Service Three Phase,539f74e5ec4f024411ed0d9b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0d9b,Residential,"Application: This rate will be applied to residential single-phase customers for ordinary household purposes. Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.
Customers who do not meet these criteria will be served under the applicable rate.
Fixed Monthly Charge includes Commitment to Community Rider: $1.34 per customer per month",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=230,,,,,,
2593,Morgan County Rural Elec Assn,12860,Residential Time-Of-Use - Rate Code 07,539f74e5ec4f024411ed0da9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc29aec4f024c27d8b335,Residential,,http://www.mcrea.org/About_Us/Rate_Information/index.html,,,,,,
2594,Rayle Electric Membership Corp,15700,"Residential Service: Schedule RS-13, Multi-Phase",539f74e5ec4f024411ed0db5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0db5,Residential,"AVAILABILITY: Available in all territory served directly by existing retail distribution lines of the Cooperative subject to the Cooperative's established Service Rules and Regulations on file with the Georgia Public Service Commission.
APPLICABILITY: For all domestic uses of a residential consumer in a separately metered single family dwelling unit and service to churches.
TYPE OF SERVICE: Single-phase, or multi-phase where available, 60 hertz, at available secondary voltages.",ISU Document,,,,,Secondary,3-Phase
2595,"City of Radford, Virginia (Utility Company)",15619,Residential Service,539f74e5ec4f024411ed0dbb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0dbb,Residential,"Summed Adjustment costs:
Wholesale Power Cost Adjustment Charge (per kwh) $0.01765
Fuel Adjustment Charge (per kwh amount can fluctuate) $0.0033770",http://www.radford.va.us/images/utilityratesheet2011.pdf,,,,,,
2597,"City of Palmetto, Georgia (Utility Company)",14396,Residential Electric Rates,539f74e5ec4f024411ed0dc7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0dc7,Residential,"Available in all areas served by the City of Palmetto and subject to its service rules and regulations.
Applicable to all domestic uses of the Customer in a separately metered single-family or apartment dwelling unit.

The amounts calculated at the above rate are subject to increase or decrease according to the Power Cost Adjustment (PCA) Clause.",http://www.psc.state.ga.us/factsv2/Document.aspx?documentNumber=127207,,,,,,
2598,Slinger Utilities,17324,Residential- Three- Phase,539f74e5ec4f024411ed0dd7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0dd7,Residential,"This rate will be applied to residential single-phase customers for ordinary household purposes. Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.

This rate is subject to the following Adjustments and Riders:
*Power Cost Adjustment Clause, which includes a charge per all kWh that varies monthly.
*Commitment to Community Program Rider, which asses a monthly fee of 1.20% of the total electric bill.
*Renewable Energy Rider, this rider is voluntary 
*Parallel Generation (20 kW or less)-Net Energy Billing
For more information see ""Source"".",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=5510,,,,,,3-Phase
2600,Coweta-Fayette El Member Corp,4432,Additional Residential Meter Option,539f74e5ec4f024411ed0ddb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0ddb,Residential,"Additional Info:
*The second meter option is for members that have a shop, garage, barn, well pump or some other meter on their property that uses less than 500 kWh per month.
*The given charges are subject to ""Wholesale Power Cost Adjustment"".

Additional Info:

*Net Metering: Service to an electric consumer under which electric energy generated by the electric consumer from an eligible on-site generation facility and delivered to the local distribution facilities may be used to offset electric energy provide by the electric utility to the electric consumer during the applicable billing period. For additional information contact the EMC's engineering department.

*Residential Load Management Annual Credit: $10.00 credit applied to the member's October bill for allowing the EMC to cycle the air conditioner and/or water-heater during the months of June-September.


*Electric Water Heater Credit:
      June 1- October 31      $2.00/mo. 
      (One EWH credit per household)

*Senior Discount
      Discount           $6.50/mo.

*The given charges are subject to ""Wholesale Power Cost Adjustment"".",http://www.utility.org/myHome/electricRates.aspx,,,,,,
2601,"Village of Richmondville, New York (Utility Company)",15991,Residential,539f74e5ec4f024411ed0ddf,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74e5ec4f024411ed0ddf,Residential,,ISU Documentation,,,,,,
2603,"City of Tacoma, Washington (Utility Company)",18429,RS - Schedule A-1 - City of Lakewood - collectively metered apartments,568d9b025457a3fd2babca30,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/568d9b025457a3fd2babca30,Residential,"Available for domestic purposes in residences, apartments, duplex houses and multiple family dwellings.",www.mytpu.org/customer-service/rates/power-rates/power-rates-schedules.htm,,,,,,
2605,Hartford Electric,8212,Rg-2 Residential Service Optional Time-of-Day Three Phase 8am-8pm,539f74f4ec4f024411ed0e23,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74f4ec4f024411ed0e23,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=2470,,,,,,3-Phase
2606,"City of Traverse City, Michigan (Utility Company)",19125,Residential Senior Citizen Rate,539f74f4ec4f024411ed0e33,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74f4ec4f024411ed0e33,Residential,,http://www.tclp.org/Uploads/Residential/residential_senior_citizen_service_rates.pdf,,,,,,
2607,Albemarle Electric Member Corp,240,Residential - Single-Phase,539f74f4ec4f024411ed0e39,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74f4ec4f024411ed0e39,Residential,"This schedule is applicable to all residential dwellings. For the purpose of this Schedule, a service is classified as residential if it provides electricity to a single dwelling used for domestic purposes and the primary energy usage is associated with the dwelling.

* Single-phase or three-phase, 60-cycle alternating current, at an available secondary voltage mutually agreed upon between the Cooperative and the consumer.

* The minimum monthly charge under this schedule shall be the appropriate Basic Facilities Charge.

Consumers requesting Service to be reconnected, which has been disconnected for less than twelve months, shall be responsible for:

1. The monthly minimum, as determined above, times the number of months the service was disconnected; and

2. The Cooperative's current reconnection charge.",http://aemc.coop/Documents/rateschedule.pdf,,,,,,
2610,"City of Farnhamville, Iowa (Utility Company)",6210,Residential,539f74f5ec4f024411ed0e77,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74f5ec4f024411ed0e77,Residential,,Rates Binder A,,,,,,
2611,East-Central Iowa Rural Elec Coop,5588,Rural Farm and Residential Multi Phase,539f74f5ec4f024411ed0e79,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74f5ec4f024411ed0e79,Residential,,http://www.ecirec.coop/admin/upload/editor/files/2-Corporate%20Documents/2%20-%20Tariff/Sec28_84-114.pdf,,,,,,
2612,Menard Electric Coop,12395,Farm And Residential Service (Rate Code 10),539f74f5ec4f024411ed0e81,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74f5ec4f024411ed0e81,Residential,,http://menard.coopwebbuilder.com/sites/menard.coopwebbuilder.com/files/rc10_farmresidential2.pdf,,,,,Secondary,Single Phase
2613,Aitkin Public Utilities Comm,174,Residential (Peak 08:00 a.m. - 12:00 p.m.),539f74f5ec4f024411ed0e91,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f74f5ec4f024411ed0e91,Residential,,Illinois State University Archives,,,,,,
2617,"City of Elba, Alabama (Utility Company)",5728,Residential,539f7505ec4f024411ed0f0d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7505ec4f024411ed0f0d,Residential,,"Rate Binder ""A"" Elba, Alabama",,,,,,
2619,"City of Goldthwaite, Texas (Utility Company)",7368,Residential,539f7505ec4f024411ed0f2d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7505ec4f024411ed0f2d,Residential,Fixed monthly charge includes first 15 kWh.,ISU Documentation Rate Binder Ted 12,,,,,,
2623,"Town of Farmville, North Carolina (Utility Company)",6209,Residential- 3-Phase,539f7506ec4f024411ed0f5f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7506ec4f024411ed0f5f,Residential,,Rates Binder A,,,,,,
2624,Morgan County Rural Elec Assn,12860,Residential - Rate Code 01,539f7506ec4f024411ed0f61,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb4d0ec4f024bc1dbedc9,Residential,,http://www.mcrea.org/About_Us/Rate_Information/index.html,,,,,,
2625,Public Utility District No 1,15327,Senior/Disabled (10%),539f7506ec4f024411ed0f77,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7506ec4f024411ed0f77,Residential,,http://www.wahkiakumpud.org/wp-content/uploads/2014/01/Utility-Rates-December-2013.pdf,,,,,,
2626,"City of Columbia City, Indiana (Utility Company)",4007,Residential,539f7506ec4f024411ed0f79,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7506ec4f024411ed0f79,Residential,,http://www.columbiacity.net/pdf/43832-U%20Tariffs.pdf,,,,,,
2627,"Village of Mt Horeb, Wisconsin (Utility Company)",13036,Rg-2 Residential Service Optional Time-of-Day Three Phase 9am-9pm,539f7506ec4f024411ed0f7d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7506ec4f024411ed0f7d,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=3930,,,,,,3-Phase
2629,"City of Newton, Illinois (Utility Company)",13560,Residential,539f7515ec4f024411ed0f8d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb8f6ec4f024bc1dc1d29,Residential,,http://www.cityofnewtonil.com/electric_department.htm,,,,,,
2630,"City of Monett, Missouri (Utility Company)",12782,Residential Standard Rate,539f7515ec4f024411ed0f99,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb6d9ec4f024bc1dc04ed,Residential,"Electric energy shall be supplied under the residential rate only for use for residential purposes, and unless special application for multiple family use is made as hereinafter provided, shall be for single-family use.",http://www.cityofmonett.com/forms_schedules/Admin/City%20Ordinance/01-31-2013/Chapter%207%20-%20Utilities.pdf,,,,,,
2634,New Ulm Public Utilities Comm,13488,RESIDENTIAL SERVICE RATE,539f7516ec4f024411ed0fb3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f74b1ec4f024411ed0ae5,Residential,Fixed monthly charge of $9 applies to first meter; 2nd meter at same service address is $7.00 per month.,http://www.ci.new-ulm.mn.us/vertical/sites/%7B1E9156B6-EE87-4ADE-9BB6-37AF3590FA0E%7D/uploads/electric_rate_-_September_2012.pdf,,,,,Secondary,Single Phase
2636,Cloverland Electric Co-op,3828,Farm and Home Residential Rate (RES1),539f7516ec4f024411ed0fbb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fbee8ec4f024c27d88b75,Residential,"Availability:
To Member-Consumers of the Cooperative for all normal farm and principal permanent home uses,
subject to the established rules and regulations of the Cooperative. Member-Consumers having small businesses on their residential premises may take service under this schedule provided such business use does not exceed 25 percent of the energy usage. This rate is also applicable to Member-Consumers taking service under the Electric Select Rate which has been discontinued.

*adj = PSCR + Monthly Energy Optimization Surcharge + Rate Realignment Credit",http://www.dleg.state.mi.us/mpsc/electric/ratebooks/cloverland/cloverland5cur.pdf,,,,,,Single Phase
2637,"Borough of Zelienople, Pennsylvania (Utility Company)",21160,Single Family Unit,539f7516ec4f024411ed0fbd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7516ec4f024411ed0fbd,Residential,,ISU Documentation Rate Binder Ted #12,,,,,,
2638,"Town of Stowe, Vermont (Utility Company)",27316,Residential Demand Rate 06,539f7516ec4f024411ed0fbf,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7516ec4f024411ed0fbf,Residential,,www.townofstowevt.org/images/photos/sed_2014_rates.pdf,,,,,Secondary,Single Phase
